PermitNum,StatusCurrent,AppliedDate,AppliedYear,IssuedDate,CompletedDate,YearCompleted,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,WorkClassGroup,WorkClassMapped,Description,ApplicantName,Contractor if no applicant,ContractorName,HousingUnits,EstProjectCost,Project Number,Project Number Hardcoded,OriginalAddress,CommunityCode,CommunityName,Latitude,Longitude,LocationCount,LocationTypes,LocationAddresses,LocationsWKT,LocationsGeoJSON,Point,ADDRESS,Assessed Value Before,Assessed Value After
BP2022-04059,Completed,2022-03-18,2022,2022-05-16,2023-05-19,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,Part 9 - Row House - Ambleton - Building 2,TRUMAN HOMES 1995,,TRUMAN HOMES 1995,5,"$1,167,492",1,1,#4 90 AMBLESIDE PA NW,ABT,AMBLETON,51.18345672,-114.1165833,6,Titled Parcel;Building;Building;Building;Building;Building,2000 144 AV NW;#5 90 AMBLESIDE PA NW;#2 90 AMBLESIDE PA NW;#4 90 AMBLESIDE PA NW;#3 90 AMBLESIDE PA NW;#1 90 AMBLESIDE PA NW,"MULTIPOINT (-114.11658334324612 51.18345671866443,-114.10998739045728 51.1865222745212,-114.10999040086696 51.18635672972671,-114.10999105768416 51.18647041953752,-114.10999054099226 51.18641560194559,-114.10998629267807 51.186301439065346)","{""type"":""MultiPoint"",""coordinates"":[[-114.1165833,51.1834567],[-114.1099874,51.1865223],[-114.1099904,51.1863567],[-114.1099911,51.1864704],[-114.1099905,51.1864156],[-114.1099863,51.1863014]]}",POINT (-114.11658334324612 51.18345671866443),90 AMBLESIDE PA NW,a,
BP2022-04070,Completed,2022-03-18,2022,2022-05-17,2025-02-28,2025,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,Part 9 - Row House - Ambleton - Building 3,TRUMAN HOMES 1995,,TRUMAN HOMES 1995,4,"$933,984",1,1,#8 90 AMBLESIDE PA NW,ABT,AMBLETON,51.18345672,-114.1165833,5,Titled Parcel;Building;Building;Building;Building,2000 144 AV NW;#7 90 AMBLESIDE PA NW;#8 90 AMBLESIDE PA NW;#9 90 AMBLESIDE PA NW;#6 90 AMBLESIDE PA NW,"MULTIPOINT (-114.11658334324612 51.18345671866443,-114.10999150380604 51.186657850553864,-114.10999163287202 51.18671207519977,-114.10998721767906 51.186768209894495,-114.10999061658917 51.18660361763063)","{""type"":""MultiPoint"",""coordinates"":[[-114.1165833,51.1834567],[-114.1099915,51.1866579],[-114.1099916,51.1867121],[-114.1099872,51.1867682],[-114.1099906,51.1866036]]}",POINT (-114.11658334324612 51.18345671866443),90 AMBLESIDE PA NW,a,
BP2022-03216,Completed,2022-03-03,2022,2022-06-24,2023-08-28,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,6 Plex Rowhouse,TRUMAN HOMES 1995,,,6,"$1,110,922",1,1,280 AMBLETON ST NW,ABT,AMBLETON,51.18709846,-114.1109474,6,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,264 AMBLETON ST NW;276 AMBLETON ST NW;260 AMBLETON ST NW;280 AMBLETON ST NW;268 AMBLETON ST NW;272 AMBLETON ST NW,"MULTIPOINT (-114.11094736514407 51.1870984592287,-114.11094711345088 51.187255776004626,-114.11093933229904 51.18703554022916,-114.1109473681784 51.18731420761871,-114.11094726577095 51.18715239642191,-114.11094718070223 51.187206333601026)","{""type"":""MultiPoint"",""coordinates"":[[-114.1109474,51.1870985],[-114.1109471,51.1872558],[-114.1109393,51.1870355],[-114.1109474,51.1873142],[-114.1109473,51.1871524],[-114.1109472,51.1872063]]}",POINT (-114.11094736514407 51.1870984592287),280 AMBLETON ST NW,a,
BP2022-02487,Completed,2022-02-17,2022,2023-03-21,2023-09-15,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,5 Plex Rowhouse With 5 Secondary Suites,TRUMAN HOMES 1995,,TRUMAN HOMES 1995,10,"$1,082,976",1,1,84B AMBLEFIELD TC NW,ABT,AMBLETON,51.18739183,-114.1096592,15,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building;Building;Building;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite,88 AMBLEFIELD TC NW;96 AMBLEFIELD TC NW;84 AMBLEFIELD TC NW;100 AMBLEFIELD TC NW;92 AMBLEFIELD TC NW;88 AMBLEFIELD TC NW;84 AMBLEFIELD TC NW;92 AMBLEFIELD TC NW;100 AMBLEFIELD TC NW;96 AMBLEFIELD TC NW;84B AMBLEFIELD TC NW;100B AMBLEFIELD TC NW;88B AMBLEFIELD TC NW;96B AMBLEFIELD TC NW;92B AMBLEFIELD TC NW,"MULTIPOINT (-114.10965918092901 51.18739183288556,-114.10950966486944 51.18745040477006,-114.10974390013635 51.187364784908006,-114.10941026151497 51.18748645582503,-114.10958464284506 51.18742336602478,-114.10972823559948 51.18747279964389,-114.10980673879395 51.187442422339984,-114.10965595979218 51.187499242640556,-114.10950340796576 51.18755662175527,-114.10957923915068 51.18752737079461,-114.10978964686635 51.187389121559605,-114.10947496715403 51.18756737286089,-114.1097164923445 51.18741893648708,-114.10951490146093 51.187493118048316,-114.10963741866726 51.18744401045072)","{""type"":""MultiPoint"",""coordinates"":[[-114.1096592,51.1873918],[-114.1095097,51.1874504],[-114.1097439,51.1873648],[-114.1094103,51.1874865],[-114.1095846,51.1874234],[-114.1097282,51.1874728],[-114.1098067,51.1874424],[-114.109656,51.1874992],[-114.1095034,51.1875566],[-114.1095792,51.1875274],[-114.1097896,51.1873891],[-114.109475,51.1875674],[-114.1097165,51.1874189],[-114.1095149,51.1874931],[-114.1096374,51.187444]]}",POINT (-114.10965918092901 51.18739183288556),84B AMBLEFIELD TC NW,a,
BP2021-17189,Completed,2021-10-01,2021,2023-02-27,2024-08-26,2024,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,"Albert Park Rowhomes (Building A, B and Waste and Storage Building)",FORMED ALLIANCE ARCHITECTURE STUDIO,,,16,"$3,439,985",2,2,#108 1302 34 ST SE,ALB,ALBERT PARK/RADISSON HEIGHTS,51.04228222,-113.9844429,19,Titled Parcel;Building;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite,1302 34 ST SE;#200 1302 34 ST SE;#100 1302 34 ST SE;#203 1302 34 ST SE;#104 1302 34 ST SE;#111 1302 34 ST SE;#105 1302 34 ST SE;#108 1302 34 ST SE;#107 1302 34 ST SE;#101 1302 34 ST SE;#103 1302 34 ST SE;#110 1302 34 ST SE;#106 1302 34 ST SE;#102 1302 34 ST SE;#204 1302 34 ST SE;#205 1302 34 ST SE;#109 1302 34 ST SE;#202 1302 34 ST SE;#201 1302 34 ST SE,"MULTIPOINT (-113.98444289021465 51.04228222051515,-113.98432308093946 51.04223347114238,-113.98421838009227 51.04233200254772,-113.98432080145679 51.04226951069205,-113.98427040031892 51.04237367699032,-113.98433663310507 51.042302334344214,-113.98413400423141 51.04237401814371,-113.98411479226999 51.04230194481406,-113.98403496920983 51.042374004657816,-113.98442376736106 51.04236834863683,-113.98431794271154 51.04237404296849,-113.98431852305706 51.04230233191578,-113.9841170204449 51.04237472602615,-113.98433603888837 51.04237297561648,-113.98423534266156 51.042267710238754,-113.98423933099586 51.04219670983398,-113.98413515550173 51.04230158799045,-113.98441248869997 51.04223812180488,-113.98441306304612 51.042226345326036)","{""type"":""MultiPoint"",""coordinates"":[[-113.9844429,51.0422822],[-113.9843231,51.0422335],[-113.9842184,51.042332],[-113.9843208,51.0422695],[-113.9842704,51.0423737],[-113.9843366,51.0423023],[-113.984134,51.042374],[-113.9841148,51.0423019],[-113.984035,51.042374],[-113.9844238,51.0423683],[-113.9843179,51.042374],[-113.9843185,51.0423023],[-113.984117,51.0423747],[-113.984336,51.042373],[-113.9842353,51.0422677],[-113.9842393,51.0421967],[-113.9841352,51.0423016],[-113.9844125,51.0422381],[-113.9844131,51.0422263]]}",POINT (-113.98444289021465 51.04228222051515),1302 34 ST SE,a,
BP2019-12584,Completed,2019-09-13,2019,2019-10-24,2020-12-17,2020,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,4 Unit Residential 2 Storey Rowhouse,HABITAT FOR HUMANITY,,HABITAT FOR HUMANITY,4,"$875,000",2,2,#3 1305 36 ST SE,ALB,ALBERT PARK/RADISSON HEIGHTS,51.04207958,-113.9818678,6,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite,1305 36 ST SE;1305 36 ST SE;#3 1305 36 ST SE;#1 1305 36 ST SE;#2 1305 36 ST SE;#4 1305 36 ST SE,"MULTIPOINT (-113.98186783556261 51.04207958030707,-113.98203164477701 51.04217273029278,-113.9820599546254 51.04212528680905,-113.98188565552313 51.04212846926119,-113.98197563655448 51.042124554657256,-113.98214711068077 51.042125300154595)","{""type"":""MultiPoint"",""coordinates"":[[-113.9818678,51.0420796],[-113.9820316,51.0421727],[-113.98206,51.0421253],[-113.9818857,51.0421285],[-113.9819756,51.0421246],[-113.9821471,51.0421253]]}",POINT (-113.98186783556261 51.04207958030707),1305 36 ST SE,a,
BP2020-01960,Completed,2020-02-18,2020,2020-02-21,2021-07-16,2021,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,8B Radisson -  Habitat for Humanity 4 unit rowhouse,HABITAT FOR HUMANITY,,,4,"$875,000",2,2,#3 1313 36 ST SE,ALB,ALBERT PARK/RADISSON HEIGHTS,51.04207958,-113.9818678,6,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite,1305 36 ST SE;1313 36 ST SE;#2 1313 36 ST SE;#1 1313 36 ST SE;#4 1313 36 ST SE;#3 1313 36 ST SE,"MULTIPOINT (-113.98186783556261 51.04207958030707,-113.98203326602756 51.041999696079856,-113.98197510146396 51.04203357843387,-113.98187819438328 51.04202714477612,-113.98214375209089 51.0420336043217,-113.98205999031369 51.04203288130546)","{""type"":""MultiPoint"",""coordinates"":[[-113.9818678,51.0420796],[-113.9820333,51.0419997],[-113.9819751,51.0420336],[-113.9818782,51.0420271],[-113.9821438,51.0420336],[-113.98206,51.0420329]]}",POINT (-113.98186783556261 51.04207958030707),1313 36 ST SE,a,
BP2021-07968,Completed,2021-05-11,2021,2021-07-29,2024-07-18,2024,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,"3 -Unit Residential Rowhouse; located at 210, 214, 218 ALPINE AV SW",GENESIS BUILDERS GROUP,,GENESIS BUILDERS GROUP,3,"$731,530",3,3,214 ALPINE AV SW,ALP,ALPINE PARK,50.91750523,-114.1405114,7,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building;Building,15113 37 ST SW;218 ALPINE AV SW;214 ALPINE AV SW;210 ALPINE AV SW;210 ALPINE AV SW;218 ALPINE AV SW;214 ALPINE AV SW,"MULTIPOINT (-114.14051140887629 50.91750523136649,-114.14075279170125 50.91606655079675,-114.14066412236565 50.916066657647264,-114.14055224399067 50.91606679236964,-114.14058418489519 50.91614228737371,-114.14075127192282 50.916147327218376,-114.14066396336459 50.91614600302834)","{""type"":""MultiPoint"",""coordinates"":[[-114.1405114,50.9175052],[-114.1407528,50.9160666],[-114.1406641,50.9160667],[-114.1405522,50.9160668],[-114.1405842,50.9161423],[-114.1407513,50.9161473],[-114.140664,50.916146]]}",POINT (-114.14051140887629 50.91750523136649),214 ALPINE AV SW,a,
BP2022-05829,Completed,2022-04-12,2022,2022-06-29,2022-12-28,2022,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,3 Unit Residential Rowhouse - Bldg 3,GENESIS BUILDERS GROUP,,GENESIS BUILDERS GROUP,3,"$706,968",3,3,254 ALPINE AV SW,ALP,ALPINE PARK,50.91606555,-114.1415826,3,Titled Parcel;Titled Parcel;Titled Parcel,254 ALPINE AV SW;246 ALPINE AV SW;250 ALPINE AV SW,"MULTIPOINT (-114.1415826427961 50.91606554752506,-114.14140538946184 50.91606576231577,-114.14149405879292 50.91606565490235)","{""type"":""MultiPoint"",""coordinates"":[[-114.1415826,50.9160655],[-114.1414054,50.9160658],[-114.1414941,50.9160657]]}",POINT (-114.1415826427961 50.91606554752506),254 ALPINE AV SW,a,
BP2019-01240,Completed,2019-02-05,2019,2019-04-03,2020-03-18,2020,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,Oldstreet -4 plex non-stacked townhouse,BMP CONSTRUCTION MANAGEMENT,,BMP CONSTRUCTION MANAGEMENT,4,"$963,760",4,4,2106 49 AV SW,ALT,ALTADORE,51.0100531,-114.1094966,5,Titled Parcel;Building;Building;Building;Building,2102 49 AV SW;2108 49 AV SW;4929 20 ST SW;2106 49 AV SW;2110 49 AV SW,"MULTIPOINT (-114.10949657929051 51.01005310021835,-114.1097126557762 51.01006075461374,-114.10954148660369 51.01006756764909,-114.10963046307413 51.010061299227196,-114.10979634805499 51.01006161993044)","{""type"":""MultiPoint"",""coordinates"":[[-114.1094966,51.0100531],[-114.1097127,51.0100608],[-114.1095415,51.0100676],[-114.1096305,51.0100613],[-114.1097963,51.0100616]]}",POINT (-114.10949657929051 51.01005310021835),2106 49 AV SW,a,
