"BOARD","NAME","ADDRESS_AB","POSTAL_COD","CITY","PROVINCE","PHONE_NO","FAX_NO","EMAIL","GRADES","POSTSECOND","DATA_SOURCE","ELEM","JUNIOR_H","SENIOR_H","GLOBAL_ID","POINT"
"The Calgary School Division","Nose Creek School","135 Covepark Sq NE","T3K5W9","Calgary","AB","(403) 817-3360",,,"Elementary/Junior High","N","N","Y","Y","N","{DED70E27-1932-4853-A7FC-7CB2A67D2FC3}","POINT (-114.060714 51.1671563)"
"The Calgary School Division","John G. Diefenbaker High School","6620  4 St NW","T2K1C2","Calgary","AB","(403) 274-2240",,"johngdiefenbaker@cbe.ab.ca","Senior High","N","N","N","N","Y","{59FC3369-53C8-4217-8F34-069523545759}","POINT (-114.0701434 51.112806)"
"Eastside City Church and Missionary Society","Eastside Christian Academy","1320 Abbeydale Drive SE","T2A7L8","Calgary","AB","(403) 569-1003",,"admin@eastsidechristianacademy.ca","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{35132286-0A8B-4D84-89CB-3F18C8BC241C}","POINT (-113.9302342 51.0519591)"
"The Calgary Roman Catholic Separate School Division","St. Marguerite School","1100 New Brighton Drive SE","T2Z0W1","Calgary","AB","(403) 500-2127",,"stmarguerite@cssd.ab.ca","Elementary","N","N","Y","N","N","{864F17B7-A49A-437D-9DCF-A82D8FD4A525}","POINT (-113.9372449 50.9211617)"
"The Calgary School Division","Twelve Mile Coulee School","65 Tuscany Hills Rd NW","T3L0C7","Calgary","AB","(403) 817-3390",,"TwelveMileCoulee@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{B67CCD7B-4906-4F0C-88A7-547B20E352FC}","POINT (-114.2434944 51.1228429)"
"The Southern Francophone Education Region","École de la Rose sauvage","2512 - 4 Street N.W.","T2M2Z9","Calgary","AB","(403) 230-3112",,,"Junior High/Senior High","N","N","N","Y","Y","{ECD41ABD-83FB-418D-845D-833797B4B23B}","POINT (-114.0703177 51.0748514)"
"The Calgary School Division","CLS Forest Lawn Writing Centre","1304 44 St SE","T2A1M8","Calgary","AB","(403) 272-6665",,"chinooklearning@cbe.ab.ca","Unknown","N","N","N","N","N","{6241A727-63DF-4C16-9516-BDBC6A8ECE09}","POINT (-113.9689639 51.0424098)"
"The Calgary Roman Catholic Separate School Division","Ecole St. Pius X School","2312 - 18 Street N.W.","T2M3T5","Calgary","AB","(403) 500-2015",,"stpius@cssd.ab.ca","Elementary","N","N","Y","N","N","{DBB91965-59F7-476D-A376-2BF1F3CA602A}","POINT (-114.1034205 51.0729793)"
"The Calgary School Division","Alex Munro School","427 78 Ave NE","T2K0R9","Calgary","AB","(403) 777-6600",,"alexmunro@cbe.ab.ca","Elementary","N","N","Y","N","N","{961D7893-757D-4B53-9692-627C1581ADD4}","POINT (-114.0614094 51.1206541)"
"The Calgary School Division","Hawkwood School","650 Hawkwood Blvd NW","T3G2V7","Calgary","AB","(403) 777-6410",,"hawkwood@cbe.ab.ca","Elementary","N","N","Y","N","N","{D765A407-DD69-4869-8716-8404432C344F}","POINT (-114.1787604 51.1306637)"
"Fusion Education Association","Fusion Collegiate","3636 Research Road NW","T2L1Y1","Calgary","AB","(587) 333-7772",,"admin@fusioncollegiate.ca","Senior High","N","N","N","N","Y","{49A0D658-48E9-4C95-A551-1D8CE3F08B73}","POINT (-114.1373455 51.0868412)"
"The Calgary School Division","Glenbrook School","4725 33 Ave. S.W.","T3E3V1","Calgary","AB","(403) 777-8320",,"glenbrook@cbe.ab.ca","Elementary","N","N","Y","N","N","{9C4142A2-84F6-4DBD-A426-4CE77A04B74D}","POINT (-114.1550118 51.0235181)"
,"ST. MARY'S UNIVERSITY - STUDENTS' ASSOCIATION",,"T2X1Z4","Calgary","AB","(403) 531-9130",,,,"Y","Y",,,,"{669BBB9D-C48F-462E-AA7F-C3C9BA8125D6}","POINT (-114.0663533 50.9224441)"
