Community Name,Median Household Income Before Tax
ABBEYDALE,81000
ACADIA,79000
AIRDRIE,110000
ALBERT PARK/RADISSON HEIGHTS,65500
ALPINE PARK,122000
ALTADORE,113000
ALYTH,73000
AMBLETON,127000
APPLEWOOD PARK,73000
ARBOUR LAKE,113000
ASPEN WOODS,160000
AUBURN BAY,121000
BANFF TRAIL,81000
BANKVIEW,54800
BAYVIEW,95000
BEDDINGTON HEIGHTS,106000
BEISEKER,138000
BEL-AIRE,135000
BELTLINE,71000
BELVEDERE,59200
BONAVISTA DOWNS,108000
BONNYBROOK,73000
BOWNESS,70000
BRAESIDE,95000
BRENTWOOD,95000
BRIAR HILL,109000
BRIDGELAND/RIVERSIDE,76000
BRIDLEWOOD,110000
BRITANNIA,83000
CAMBRIAN HEIGHTS,82000
CANYON MEADOWS,108000
CAPITOL HILL,81000
CARRINGTON,113000
CASTLERIDGE,98000
CEDARBRAE,95000
CFB CURRIE,113000
CHAPARRAL,110000
CHARLESWOOD,95000
CHESTERMERE,138000
CHINOOK PARK,135000
CHRISTIE PARK,112000
CITADEL,113000
CITYSCAPE,108000
CLIFF BUNGALOW,65500
COACH HILL,112000
COCHRANE,113000
COLLINGWOOD,95000
COPPERFIELD,121000
CORAL SPRINGS,98000
CORNERSTONE,99000
COUGAR RIDGE,160000
COUNTRY HILLS,106000
COUNTRY HILLS VILLAGE,106000
COVENTRY HILLS,106000
CRANSTON,121000
CRESCENT HEIGHTS,83000
CRESTMONT,160000
CROSSFIELD,138000
CURRIE BARRACKS,133000
DALHOUSIE,85000
DEER RIDGE,110000
DEER RUN,110000
DIAMOND COVE,108000
DISCOVERY RIDGE,160000
DOUGLASDALE/GLEN,121000
DOVER,73000
DOWNTOWN,63600
EAGLE RIDGE,135000
EASTFIELD,73000
EAU CLAIRE,63600
EDGEMONT,118000
ELBOW PARK,113000
ELBOYA,83000
ERIN WOODS,73000
ERLTON,77500
EVANSTON,106000
EVERGREEN,110000
FAIRVIEW,72500
FAIRVIEW INDUSTRIAL,72500
FALCONRIDGE,98000
FOREST HEIGHTS,73000
FOREST LAWN,73000
FRANKLIN,65500
GLAMORGAN,78000
GLEN,121000
GLENBROOK,86000
GLENDALE,86000
GLENGARRY,101000
GOLDEN TRIANGLE,73000
GREENVIEW,82000
HAMPTONS,118000
HANSON RANCH,106000
HARVEST HILLS,106000
HAWKWOOD,113000
HAYSBORO,79000
HIDDEN VALLEY,106000
HIGHLAND PARK,80000
HIGHWOOD,82000
HILLHURST,109000
HOMESTEAD,97000
HORIZON,98000
HOUNSFIELD HEIGHTS,109000
HUNTINGTON HILLS,106000
INGLEWOOD,73000
IRRICANA,138000
KELVIN GROVE,135000
KILLARNEY/GLENGARRY,101000
KINCORA,118000
KINGSLAND,72500
LAKE BONAVISTA,108000
LAKEVIEW,116000
LEGACY,110000
LINCOLN PARK,113000
LIVINGSTON,116000
LOWER MOUNT ROYAL,65500
MACEWAN GLEN,106000
MAHOGANY,121000
MANCHESTER INDUSTRIAL,77500
MARLBOROUGH,81000
MARLBOROUGH PARK,81000
MARTINDALE,98000
MAYFAIR,135000
MAYLAND,73500
MAYLAND HEIGHTS,73500
MCCALL,73500
MCKENZIE LAKE,121000
MCKENZIE TOWNE,121000
MEADOWLARK PARK,83000
MERIDIAN,65500
MIDNAPORE,110000
MILLRISE,110000
MISSON,71000
MONTEREY PARK,84000
MONTGOMERY,81000
MOUNT PLEASANT,92000
MOUNTVIEW,80000
NEW BRIGHTON,121000
NOLAN HILL,129000
NORTH AIRWAYS,73500
NORTH GLENMORE PARK,116000
NORTH HAVEN,82000
OAKRIDGE,95000
PALLISER,95000
PANORAMA HILLS,106000
PARKDALE,109000
PARKHILL,107000
PARKLAND,110000
PATTERSON,112000
PEGASUS,73500
PENBROOKE MEADOWS,73000
PINE CREEK,106000
PINE RIDGE,84000
POINT MCKAY,81000
PUMP HILL,95000
QUEENS PARK VILLAGE,82000
QUEENSLAND,108000
RADISSON HEIGHTS,65500
RAMSAY,97000
RANCHLANDS,113000
RED CARPET,73000
REDSTONE,100000
RENFREW,83000
RICHMOND,113000
RIDEAU PARK,113000
RIVERSIDE,76000
ROCKY RIDGE,113000
ROCKY VIEW COUNTY,138000
ROSEDALE,83000
ROSEMONT,81000
ROSSCARROCK,82000
ROXBORO,77500
ROYAL OAK,113000
RUNDLE,84000
RUTLAND PARK,78000
SADDLE RIDGE,98000
SAGE HILL,129000
SANDSTONE VALLEY,106000
SCARBORO,68500
SCENIC ACRES,133000
SETON,80000
SHAGANAPPI,82000
SHAWNEE SLOPE,110000
SHAWNEE SLOPES,100000
SHAWNESSY,110000
SHERWOOD,118000
SIGNAL HILL,112000
SILVER SPRINGS,133000
SILVERADO,110000
SKYLINE EAST,73500
SKYVIEW RANCH,98000
SOMERSET,110000
SOUTH AIRWAYS,73500
SOUTH CALGARY,113000
SOUTHEAST INDUSTRIAL AREA,102000
SOUTHVIEW,73000
SOUTHWOOD,79000
SPRINGBANK HILL,160000
SPRUCE CLIFF,82000
ST. ANDREWS HEIGHTS,109000
STRATHCONA PARK,112000
SUNALTA,68500
SUNDANCE,110000
SUNNYSIDE,83000
SUNRIDGE,98000
TARADALE,98000
TEMPLE,87000
THORNCLIFFE,82000
TUSCANY,133000
TUXEDO PARK,80000
UNIVERSITY HEIGHTS,81000
UPPER MOUNT ROYAL,113000
UPPER NORTH HAVEN,82000
VALLEY RIDGE,160000
VARSITY,91000
VISTA HEIGHTS,73500
WALDEN,110000
WEST HILLHURST,109000
WEST SPRINGS,160000
WESTGATE,82000
WESTWINDS,98000
WHITEHORN,87000
WILDWOOD,82000
WILLOW PARK,79000
WINDSOR PARK,83000
WINSTON HEIGHTS,80000
WOLF WILLOW,112000
WOODBINE,108000
WOODLANDS,108000
YORKVILLE,112000
