Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public School,ROI,Classification
61,2208R 49 AV SW,2020-11-25,2020,2021-12-03,2021,Townhouse,MODERN OFFICE OF DESIGN & ARCHITECTURE,MODERN OFFICE OF DESIGN & ARCHITECTURE,RNDSQR CONSTRUCTION,6,2024960,ALTADORE,ALT,1716500,1590000,-126500,113000,"[-114.114283, 51.01004852]",4.864919289,0.136413834,337493.3333,0.144614642,0.240817275,-0.58,0
206,301 7 AV NE,2020-08-06,2020,2021-09-01,2021,Unspecified,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,GREEN CEDAR HOMES,4,898546,CRESCENT HEIGHTS,CRE,672500,578000,-94500,83000,"[-114.0574644, 51.05846412]",1.829471524,0.212609697,224636.5,0.316202894,0.604036558,-0.63,0
214,1814 42 ST SE,2019-06-24,2019,2019-07-10,2019,Townhouse,QAA DESIGNS,QAA DESIGNS,0,4,400000,FOREST LAWN,FLN,342500,269000,-73500,73000,"[-113.9726862, 51.03720985]",6.985672289,0.064091116,100000,0.29501019,0.252733602,-0.64,0
147,540 22 AV NW,2020-07-16,2020,2022-03-02,2022,Townhouse,KESHVANI GROUP,KESHVANI GROUP,0,4,1082625,MOUNT PLEASANT,MOP,698000,667500,-30500,92000,"[-114.0738198, 51.07250584]",3.091156871,0.15765241,270656.25,0.102182862,0.256634795,-0.63,0
138,#1 2001 33 ST SW,2017-09-06,2017,2018-07-27,2018,Unspecified,INTEGER HOMES,INTEGER HOMES,INTEGER HOMES,3,925000,KILLARNEY/GLENGARRY,KIL,437500,549500,112000,101000,"[-114.1356624, 51.03614094]",4.560415707,0.186812411,308333.3333,0.36417123,0.489613805,-0.60,0
39,3562R 28 AV SW,2020-08-25,2020,2021-10-18,2021,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,EAGLE CREST CONSTRUCTION,4,784185,KILLARNEY/GLENGARRY,KIL,628500,865500,237000,101000,"[-114.1376922, 51.02860515]",4.938617475,0.153743935,196046.25,0.238602412,0.099569064,-0.39,0
143,#1 430 2 AV NE,2018-07-16,2018,2021-09-02,2021,Townhouse,0,0,0,3,433137,CRESCENT HEIGHTS,CRE,461000,698500,237500,83000,"[-114.0526329, 51.05448924]",1.728468875,0.106862408,144379,0.257149334,0.089804334,-0.22,0
221,#2B 460 19 AV NE,2019-10-07,2019,2020-10-30,2020,Unspecified,STONE WEST HOMES,0,STONE WEST HOMES,6,937892,WINSTON HEIGHTS/MOUNTVIEW,WIN,586000,836500,250500,80000,"[-114.0528002, 51.0698338]",3.093365113,0.233029134,156315.3333,0.204582171,0.055331765,-0.45,0
164,#3 1313 36 ST SE,2019-09-13,2019,2021-07-16,2021,Townhouse,HABITAT FOR HUMANITY,HABITAT FOR HUMANITY,0,8,1750000,ALBERT PARK/RADISSON HEIGHTS,ALB,1017500,1269500,252000,65500,"[-113.9818678, 51.04207958]",6.300048514,0.012271013,218750,0.481469944,0.428253813,-0.54,0
80,#4 90 AMBLESIDE PA NW,2022-03-18,2022,2023-05-19,2023,Townhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,5,1167492,AMBLETON,ABT,3446800,18860000,15413200,127000,"[-114.1165833, 51.18345672]",15.73781223,0.411857918,233498.4,0.184902956,0.532428248,3.09,2
