,Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public Schhol,downtown
0,61,2208R 49 AV SW,2020-11-25,2020,2021-12-03,2021,Townhouse,MODERN OFFICE OF DESIGN & ARCHITECTURE,MODERN OFFICE OF DESIGN & ARCHITECTURE,RNDSQR CONSTRUCTION,6,2024960,ALTADORE,ALT,1716500,1590000,-126500,95000.0,"[-114.114283, 51.01004852]",,,"337,493.33",,,4.864919289477044
1,206,301 7 AV NE,2020-08-06,2020,2021-09-01,2021,Unspecified,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,GREEN CEDAR HOMES,4,898546,CRESCENT HEIGHTS,CRE,672500,578000,-94500,71500.0,"[-114.0574644, 51.05846412]",,,"224,636.50",,,1.829471523637583
2,214,1814 42 ST SE,2019-06-24,2019,2019-07-10,2019,Townhouse,QAA DESIGNS,QAA DESIGNS,0,4,400000,FOREST LAWN,FLN,342500,269000,-73500,66500.0,"[-113.9726862, 51.03720985]",,,"100,000.00",,,6.985672288607868
3,147,540 22 AV NW,2020-07-16,2020,2022-03-02,2022,Townhouse,KESHVANI GROUP,KESHVANI GROUP,0,4,1082625,MOUNT PLEASANT,MOP,698000,667500,-30500,78000.0,"[-114.0738198, 51.07250584]",,,"270,656.25",,,3.091156871324856
4,138,#1 2001 33 ST SW,2017-09-06,2017,2018-07-27,2018,Unspecified,INTEGER HOMES,INTEGER HOMES,INTEGER HOMES,3,925000,KILLARNEY/GLENGARRY,KIL,437500,549500,112000,87000.0,"[-114.1356624, 51.03614094]",,,"308,333.33",,,4.56041570715781
5,39,3562R 28 AV SW,2020-08-25,2020,2021-10-18,2021,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,EAGLE CREST CONSTRUCTION,4,784185,KILLARNEY/GLENGARRY,KIL,628500,865500,237000,87000.0,"[-114.1376922, 51.02860515]",,,"196,046.25",,,4.938617475474669
6,143,#1 430 2 AV NE,2018-07-16,2018,2021-09-02,2021,Townhouse,0,0,0,3,433137,CRESCENT HEIGHTS,CRE,461000,698500,237500,71500.0,"[-114.0526329, 51.05448924]",,,"144,379.00",,,1.7284688745768522
7,221,#2B 460 19 AV NE,2019-10-07,2019,2020-10-30,2020,Unspecified,STONE WEST HOMES,0,STONE WEST HOMES,6,937892,WINSTON HEIGHTS/MOUNTVIEW,WIN,586000,836500,250500,70500.0,"[-114.0528002, 51.0698338]",,,"156,315.33",,,3.0933651134405133
8,164,#3 1313 36 ST SE,2019-09-13,2019,2021-07-16,2021,Townhouse,HABITAT FOR HUMANITY,HABITAT FOR HUMANITY,0,8,1750000,ALBERT PARK/RADISSON HEIGHTS,ALB,1017500,1269500,252000,59600.0,"[-113.9818678, 51.04207958]",,,"218,750.00",,,6.300048513764626
9,209,819 SHAWNEE TC SW,2022-02-08,2022,2022-09-06,2022,Townhouse,CARDEL HOMES,0,CARDEL HOMES,3,771776,SHAWNEE SLOPES,SHS,1372500,1633000,260500,,"[-114.0865605, 50.9237967]",,,"257,258.67",,,13.486725076971947
