,SITE_NAME,PLANNING_CATEGORY,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,CULTURAL_LANDSCAPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,centroid
0,OLD REFINERY PARK,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,09H862,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,"DO NOT DIG OR DISTURB SOIL. IF YOU MUST DISTURB THE AREA CONTACT JEFF SWINGLER AND/OR TRENT PARKS, BOTH WITH ESM. FORMER IMPERIAL OIL REFINERY SITE. SEE REPOSITORY FOR INFO R:\SUBDIVISION_DEVELOPMENT\CAPITAL_PROJECT_APPROVAL_DOCUMENTS\OGDEN\OGD792",ACTIVE,[-114.01855176   51.00592466]
1,FAST FOOD PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ARB399,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.20474085   51.12367962]
2,CONSTABLE SLOPE PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,COL389,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10788262   51.0843926 ]
3,OUTWEST PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ING029,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.04223258   51.04325294]
4,FLUOR DANIELS PARK; RENFREW EDUCATIONAL SERVICES; SUNDANCE CENTRE,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SDC033,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,FLUOR DANIEL LEASE;99 YEAR LEASE;THEY MAINTAIN EVERYTHING INCUDING PATHWAY,ACTIVE,[-114.05681435   50.90269336]
5,JOHN HEXTALL PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BOW214,,CALGARY PARKS SHARED,CALGARY PARKS,SEE REPOSITORY RE NAMING R:\CouncilDecisionsLandRelated\NAMING_OF_PARKS\MON\MON245 & \BOW\BOW214,ACTIVE,[-114.17216341   51.07975843]
6,GAZEBO PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,LPK546,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.13596643   51.01547347]
7,KILLARNEY PARK; KILLARNEY/GLENGARRY PARK DEPOT,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,KIL873,,CALGARY PARKS,CALGARY PARKS,PARKS DEPOT ON SITE,ACTIVE,[-114.12277893   51.03542653]
8,EVAMY RIDGE PARK; MONTESSORI SCHOOL; HOLY ANGELS SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CLI278,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07624359   51.0330048 ]
9,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HKS010,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.90124837   50.91584239]
10,TONY AND RUBY SCHMALTZ PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BOW200,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.18461554   51.0895947 ]
11,PEACEKEPERS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,GAG558,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.12652684   51.00279187]
